city,longitude,latitude,elevation
榆社县,112.975378,37.071209,1017.0
左权县,113.379412,37.082746,1144.0
和顺县,113.570295,37.329696,1273.0
昔阳县,113.707151,37.612577,875.0
寿阳县,113.176373,37.895191,1073.0
祁县,112.335226,37.358425,762.0
平遥县,112.175825,37.189614,766.0
灵石县,111.778692,36.848085,769.0
介休市,111.916451,37.027538,757.0
运城市,111.007051,35.02667,363.0
临猗县,110.774553,35.144406,399.0
万荣县,110.837957,35.415805,595.0
闻喜县,111.224485,35.356664,473.0
稷山县,110.983273,35.604515,392.0
新绛县,111.224767,35.616007,405.0
绛县,111.568849,35.491764,737.0
垣曲县,111.670215,35.298297,571.0
夏县,111.219946,35.140733,410.0
平陆县,111.193957,34.829595,386.0
芮城县,110.694418,34.694173,506.0
永济市,110.447771,34.866499,356.0
河津市,110.712032,35.596357,406.0
忻州市,112.734149,38.415958,791.0
定襄县,112.957234,38.471725,758.0
五台县,113.255419,38.728056,1052.0
代县,112.960102,39.066831,856.0
繁峙县,113.265464,39.188835,929.0
宁武县,112.304734,39.001498,1422.0
静乐县,111.939498,38.359306,1251.0
神池县,112.210997,39.091079,1557.0
五寨县,111.846808,38.91111,1433.0
岢岚县,111.572964,38.703989,1376.0
河曲县,111.138247,39.38452,861.0
保德县,111.085944,39.022616,877.0
偏关县,111.508922,39.436917,1126.0
原平市,112.711025,38.731412,823.0
临汾市,111.51931,36.088581,450.0
曲沃县,111.475783,35.641883,460.0
翼城县,111.719048,35.739706,587.0
襄汾县,111.441725,35.876293,453.0
洪洞县,111.67571,36.254087,456.0
古县,111.92031,36.266767,725.0
安泽县,112.250242,36.147921,884.0
浮山县,111.848883,35.968124,835.0
吉县,110.680513,36.096833,886.0
乡宁县,110.846585,35.970834,1037.0
大宁县,110.752914,36.465126,780.0
隰县,110.940752,36.693345,1022.0
永和县,110.631981,36.759524,953.0
蒲县,111.096457,36.41183,1017.0
汾西县,111.563993,36.652833,947.0
侯马市,111.372002,35.619105,426.0
霍州市,111.755111,36.569046,600.0
吕梁市,111.14454,37.518996,971.0
文水县,112.028866,37.438101,761.0
交城县,112.155857,37.55169,769.0
兴县,111.127486,38.461818,1035.0
临县,110.992712,37.951008,1005.0
柳林县,110.888993,37.429816,833.0
石楼县,110.834712,36.998461,1021.0
岚县,111.672156,38.279587,1193.0
方山县,111.244309,37.895017,1225.0
中阳县,111.178841,37.357816,1115.0
交口县,111.181241,36.982205,1375.0
孝义市,111.778935,37.146051,752.0
汾阳市,111.770834,37.261493,758.0
呼和浩特市,111.748814,40.842127,1071.0
土默特左旗,111.16373,40.729044,1048.0
托克托县,111.193879,40.277703,1020.0
和林格尔县,111.821695,40.379226,1176.0
清水河县,111.647351,39.921224,1184.0
武川县,111.451226,41.096511,1599.0
包头市,109.95315,40.621327,1063.0
土默特右旗,110.527831,40.578253,1013.0
固阳县,110.060055,41.034757,1358.0
达尔罕茂明安联合旗,110.432626,41.698992,1371.0
乌海市,106.79415,39.655048,1092.0
赤峰市,118.887613,42.256876,583.0
阿鲁科尔沁旗,120.065533,43.872398,381.0
巴林左旗,119.362832,43.961547,496.0
巴林右旗,118.664235,43.534171,633.0
林西县,118.05545,43.61812,814.0
克什克腾旗,117.545413,43.265057,1072.0
翁牛特旗,119.006187,42.936529,635.0
喀喇沁旗,118.701934,41.927103,755.0
宁城县,119.320056,41.600193,546.0
敖汉旗,119.921413,42.290731,577.0
通辽市,122.243309,43.653566,177.0
科尔沁左翼中旗,123.312202,44.126606,146.0
科尔沁左翼后旗,122.35677,42.935105,251.0
开鲁县,121.319216,43.601446,239.0
库伦旗,121.810629,42.735556,277.0
奈曼旗,120.657813,42.867433,368.0
扎鲁特旗,120.917953,44.567093,266.0
霍林郭勒市,119.681242,45.533598,831.0
鄂尔多斯市,109.782473,39.608744,1308.0
达拉特旗,110.034133,40.412766,1005.0
准格尔旗,111.239436,39.864923,1153.0
鄂托克前旗,107.47733,38.182402,1341.0
鄂托克旗,107.975948,39.089549,1372.0
杭锦旗,108.736011,39.833243,1388.0
